id,hive,internal,external,board,operational,panel,cell,weight,latitude,longitude,altitude,temperature,pressure,humidity,rain_level,wind_direction,wind_speed,wind_speed_mean,wind_speed_max,wind_direction_at_max_speed,flow,date,temperatura interna,temperatura esterna,temperatura meteo,peso bilancia
11,AAA00353656109378739,1360,1325,1475,0,11858,4128,17104,"45,7275","9,7127",294,1023,9763,63,0,0,10,4,16,0,0,12/4/23 2.34,"13,60","13,25","10,23","17,104"
12,AAA00353656109378739,1348,1312,1450,0,11858,4142,17104,"45,7275","9,7127",294,1047,9760,63,0,0,9,8,16,0,0,12/4/23 2.49,"13,48","13,12","10,47","17,104"
13,AAA00353656109378739,1337,1306,1437,0,11858,4128,17104,"45,7275","9,7127",294,1058,9761,64,0,292,5,0,5,292,0,12/4/23 3.04,"13,37","13,06","10,58","17,104"
14,AAA00353656109378739,1322,1293,1425,0,11858,4122,17139,"45,7275","9,7127",294,1076,9762,64,0,0,0,0,0,0,0,12/4/23 3.19,"13,22","12,93","10,76","17,139"
15,AAA00353656109378739,1309,1287,1425,0,11858,4128,17208,"45,7276","9,7127",296,1072,9762,64,0,0,0,2,15,0,0,12/4/23 3.35,"13,09","12,87","10,72","17,208"
16,AAA00353656109378739,1299,1275,1412,0,11924,4142,17139,"45,7276","9,7127",296,1077,9763,65,0,0,0,1,6,0,0,12/4/23 3.50,"12,99","12,75","10,77","17,139"
17,AAA00353656109378739,1287,1268,1456,0,11924,4128,17173,"45,7276","9,7127",296,1115,9764,65,0,292,0,2,16,0,0,12/4/23 4.05,"12,87","12,68","11,15","17,173"
18,AAA00353656109378739,1283,1262,1406,0,11924,4128,17173,"45,7276","9,7127",296,1118,9761,65,0,292,0,0,0,292,0,12/4/23 4.20,"12,83","12,62","11,18","17,173"
19,AAA00353656109378739,1274,1262,1400,0,11924,4122,17173,"45,7276","9,7127",296,1116,9761,64,0,0,10,5,10,0,0,12/4/23 4.35,"12,74","12,62","11,16","17,173"
20,AAA00353656109378739,1269,1256,1387,0,11858,4128,17208,"45,7276","9,7127",296,1125,9759,65,0,0,0,4,10,0,0,12/4/23 4.50,"12,69","12,56","11,25","17,208"
21,AAA00353656109378739,1260,1243,1381,0,11858,4142,17243,"45,7276","9,7127",296,1114,9757,64,0,0,0,0,0,0,0,12/4/23 5.05,"12,60","12,43","11,14","17,243"
22,AAA00353656109378739,1255,1243,1375,0,11924,4115,17208,"45,7276","9,7127",296,1111,9758,64,0,0,0,0,0,0,0,12/4/23 5.20,"12,55","12,43","11,11","17,208"
23,AAA00353656109378739,1252,1243,1375,0,11858,4128,17208,"45,7276","9,7127",296,1106,9758,64,0,0,0,0,0,0,0,12/4/23 5.35,"12,52","12,43","11,06","17,208"
24,AAA00353656109378739,1246,1237,1368,0,11858,4135,17243,"45,7276","9,7127",296,1104,9756,64,0,0,0,0,0,0,0,12/4/23 5.50,"12,46","12,37","11,04","17,243"
25,AAA00353656109378739,1241,1231,1362,0,11793,4128,17208,"45,7276","9,7127",296,1110,9755,63,0,0,16,3,16,0,0,12/4/23 6.05,"12,41","12,31","11,10","17,208"
26,AAA00353656109378739,1241,1225,1356,0,11858,4128,17243,"45,7276","9,7127",296,1107,9754,62,0,0,0,0,0,0,0,12/4/23 6.20,"12,41","12,25","11,07","17,243"
27,AAA00353656109378739,1238,1231,1362,0,11858,4115,17243,"45,7276","9,7127",296,1105,9755,61,0,0,0,2,8,0,0,12/4/23 6.35,"12,38","12,31","11,05","17,243"
28,AAA00353656109378739,1234,1225,1356,0,11858,4135,17208,"45,7276","9,7127",296,1099,9754,61,0,0,6,2,6,0,0,12/4/23 6.51,"12,34","12,25","10,99","17,208"
29,AAA00353656109378739,1233,1218,1350,0,11858,4128,17243,"45,7276","9,7127",296,1112,9757,61,0,0,0,0,0,0,0,12/4/23 7.06,"12,33","12,18","11,12","17,243"
30,AAA00353656109378739,1229,1218,1343,0,11858,4142,17208,"45,7276","9,7127",296,1126,9756,61,0,0,11,1,11,0,0,12/4/23 7.21,"12,29","12,18","11,26","17,208"
31,AAA00353656109378739,1225,1218,1356,0,11858,4128,11196,"45,7275","9,7127",310,1162,9756,60,0,0,0,3,10,0,0,12/4/23 7.36,"12,25","12,18","11,62","11,196"
32,AAA00353656109378739,1238,1225,1350,0,11858,4128,12198,"45,7275","9,7127",310,1206,9756,60,0,0,9,6,18,0,0,12/4/23 7.51,"12,38","12,25","12,06","12,198"
33,AAA00353656109378739,1265,1237,1418,0,11924,4142,17139,"45,7275","9,7127",310,1318,9755,59,0,0,0,1,8,0,0,12/4/23 8.06,"12,65","12,37","13,18","17,139"
34,AAA00353656109378739,2639,1256,1381,0,11858,4135,25985,"45,7275","9,7127",310,1400,9757,57,0,0,0,3,16,0,0,12/4/23 8.21,"26,39","12,56","14,00","25,985"
35,AAA00353656109378739,3211,1287,1406,0,11858,4149,27712,"45,7275","9,7127",310,1388,9756,55,0,0,0,2,16,0,1,12/4/23 8.36,"32,11","12,87","13,88","27,712"
36,AAA00353656109378739,3111,1306,1418,0,11858,4135,27643,"45,7275","9,7127",310,1348,9757,54,0,0,0,9,24,0,2,12/4/23 8.51,"31,11","13,06","13,48","27,643"
37,AAA00353656109378739,3131,1325,1437,0,11858,4142,27609,"45,7275","9,7127",310,1434,9756,54,0,0,0,0,0,0,1,12/4/23 9.06,"31,31","13,25","14,34","27,609"
38,AAA00353656109378739,3156,1343,1456,0,11858,4115,27643,"45,7275","9,7127",310,1481,9753,53,0,0,2,6,18,0,1,12/4/23 9.22,"31,56","13,43","14,81","27,643"
39,AAA00353656109378739,3182,1362,1487,0,11858,4142,27609,"45,7275","9,7127",310,1494,9754,51,0,22,6,6,13,0,0,12/4/23 9.37,"31,82","13,62","14,94","27,609"
40,AAA00353656109378739,3296,1375,1493,0,11858,4128,27574,"45,7275","9,7127",310,1531,9754,50,0,247,0,5,34,0,0,12/4/23 9.52,"32,96","13,75","15,31","27,574"
41,AAA00353656109378739,3271,1387,1506,0,11924,4128,27609,"45,7275","9,7127",310,1593,9753,50,0,292,51,13,51,292,2,12/4/23 10.07,"32,71","13,87","15,93","27,609"
42,AAA00353656109378739,3284,1406,1518,0,11858,4149,27574,"45,7275","9,7127",310,1683,9753,49,0,202,0,18,41,0,0,12/4/23 10.22,"32,84","14,06","16,83","27,574"
43,AAA00353656109378739,3295,1418,1543,0,11858,4135,27505,"45,7275","9,7127",310,1812,9756,48,0,202,0,1,10,0,2,12/4/23 10.37,"32,95","14,18","18,12","27,505"
44,AAA00353656109378739,3315,1437,1556,0,11858,4135,27609,"45,7275","9,7127",310,1819,9756,47,0,292,0,16,32,0,7,12/4/23 10.52,"33,15","14,37","18,19","27,609"
45,AAA00353656109378739,3299,1456,1575,0,11858,4135,27574,"45,7275","9,7127",310,1781,9755,46,0,67,18,23,44,0,9,12/4/23 11.07,"32,99","14,56","17,81","27,574"
46,AAA00353656109378739,3317,1481,1593,0,11858,4142,27539,"45,7275","9,7127",310,1902,9753,46,0,202,25,25,50,0,8,12/4/23 11.22,"33,17","14,81","19,02","27,539"
47,AAA00353656109378739,3310,1500,1625,0,11924,4142,27470,"45,7275","9,7127",306,1996,9752,45,0,247,0,20,61,0,4,12/4/23 11.38,"33,10","15,00","19,96","27,47"
48,AAA00353656109378739,3321,1531,1643,0,11858,4135,27470,"45,7275","9,7127",306,1868,9751,44,0,247,3,33,74,0,13,12/4/23 11.53,"33,21","15,31","18,68","27,47"
49,AAA00353656109378739,3300,1550,1731,0,11989,4135,27539,"45,7275","9,7127",306,1856,9750,44,0,292,11,27,62,0,21,12/4/23 12.08,"33,00","15,50","18,56","27,539"
50,AAA00353656109378739,3307,1581,1700,0,11924,4128,27470,"45,7275","9,7127",306,2033,9749,45,0,247,12,13,38,0,4,12/4/23 12.23,"33,07","15,81","20,33","27,47"
51,AAA00353656109378739,3311,1612,1731,0,11858,4142,27436,"45,7275","9,7127",306,2249,9749,43,0,247,17,19,53,0,20,12/4/23 12.38,"33,11","16,12","22,49","27,436"
52,AAA00353656109378739,3303,1637,1750,0,11858,4115,27401,"45,7275","9,7127",306,2136,9747,42,0,247,0,23,64,0,18,12/4/23 12.53,"33,03","16,37","21,36","27,401"
53,AAA00353656109378739,3309,1668,1781,0,11924,4128,27367,"45,7275","9,7127",306,2269,9744,41,0,202,62,36,98,0,18,12/4/23 13.08,"33,09","16,68","22,69","27,367"
54,AAA00353656109378739,3297,1700,1812,0,11858,4128,27367,"45,7275","9,7127",306,2603,9743,39,0,292,52,55,89,0,25,12/4/23 13.23,"32,97","17,00","26,03","27,367"
55,AAA00353656109378739,3309,1737,1856,0,11924,4149,27332,"45,7275","9,7127",306,2308,9741,38,0,292,9,49,81,0,49,12/4/23 13.39,"33,09","17,37","23,08","27,332"
56,AAA00353656109378739,3309,1768,1881,0,11858,4128,27298,"45,7275","9,7127",306,2357,9739,38,0,202,21,32,108,0,90,12/4/23 13.54,"33,09","17,68","23,57","27,298"
57,AAA00353656109378739,3325,1806,1918,0,11924,4128,27263,"45,7275","9,7127",306,2362,9737,38,0,67,4,20,54,0,188,12/4/23 14.09,"33,25","18,06","23,62","27,263"
58,AAA00353656109378739,3314,1837,1950,0,11858,4135,27228,"45,7275","9,7127",306,2078,9735,38,0,67,84,59,84,67,600,12/4/23 14.24,"33,14","18,37","20,78","27,228"
59,AAA00353656109378739,3326,1868,1993,0,11858,4135,27228,"45,7275","9,7127",306,2060,9734,38,0,202,40,26,44,0,947,12/4/23 14.39,"33,26","18,68","20,60","27,228"
60,AAA00353656109378739,3319,1900,2012,0,11858,4128,27263,"45,7275","9,7127",306,2106,9734,39,0,292,14,22,44,0,280,12/4/23 14.54,"33,19","19,00","21,06","27,263"
61,AAA00353656109378739,3313,1912,2031,0,11858,4122,27228,"45,7275","9,7127",306,1964,9733,39,0,67,44,24,44,67,104,12/4/23 15.09,"33,13","19,12","19,64","27,228"
62,AAA00353656109378739,3296,1918,2043,0,11858,4122,27159,"45,7275","9,7127",306,1893,9731,39,0,135,17,28,44,0,67,12/4/23 15.24,"32,96","19,18","18,93","27,159"
63,AAA00353656109378739,3302,1925,2068,0,11924,4128,27159,"45,7275","9,7126",299,1893,9729,40,0,292,61,27,61,292,48,12/4/23 15.40,"33,02","19,25","18,93","27,159"
64,AAA00353656109378739,3295,1931,2062,0,11924,4128,27159,"45,7275","9,7126",299,1861,9728,40,0,202,25,26,76,0,50,12/4/23 15.55,"32,95","19,31","18,61","27,159"
65,AAA00353656109378739,3324,1937,2137,0,11924,4128,27090,"45,7275","9,7126",299,1943,9725,40,0,292,16,13,27,0,59,12/4/23 16.10,"33,24","19,37","19,43","27,09"
66,AAA00353656109378739,3342,1943,2081,0,11858,4128,27125,"45,7275","9,7126",299,1919,9724,40,0,67,10,19,50,0,39,12/4/23 16.25,"33,42","19,43","19,19","27,125"
67,AAA00353656109378739,3336,1943,2087,0,11924,4142,27056,"45,7275","9,7126",299,1933,9722,40,0,202,30,11,31,0,38,12/4/23 16.40,"33,36","19,43","19,33","27,056"
68,AAA00353656109378739,3336,1937,2081,0,11858,4142,27090,"45,7275","9,7126",299,1853,9720,40,0,67,57,26,57,67,40,12/4/23 16.55,"33,36","19,37","18,53","27,09"
69,AAA00353656109378739,3340,1937,2075,0,11924,4128,27090,"45,7275","9,7126",299,1777,9721,40,0,135,0,23,62,0,62,12/4/23 17.10,"33,40","19,37","17,77","27,09"
70,AAA00353656109378739,3321,1937,2075,0,11858,4128,27021,"45,7275","9,7126",299,1726,9722,41,0,135,8,5,18,0,68,12/4/23 17.25,"33,21","19,37","17,26","27,021"
71,AAA00353656109378739,3327,1937,2081,0,11924,4122,27021,"45,7275","9,7126",299,1671,9721,41,0,202,0,7,26,0,43,12/4/23 17.40,"33,27","19,37","16,71","27,021"
72,AAA00353656109378739,3338,1931,2068,0,11858,4135,26987,"45,7275","9,7126",299,1622,9719,42,0,202,70,24,70,202,23,12/4/23 17.56,"33,38","19,31","16,22","26,987"
73,AAA00353656109378739,3348,1918,2062,0,11858,4128,26987,"45,7275","9,7126",299,1520,9719,42,0,247,30,44,74,0,28,12/4/23 18.11,"33,48","19,18","15,20","26,987"
74,AAA00353656109378739,3352,1912,2056,0,11924,4128,26987,"45,7275","9,7126",299,1489,9721,42,0,247,23,21,52,0,32,12/4/23 18.26,"33,52","19,12","14,89","26,987"
75,AAA00353656109378739,3349,1900,2056,0,11858,4135,26987,"45,7275","9,7126",299,1430,9721,43,0,202,13,37,95,0,22,12/4/23 18.41,"33,49","19,00","14,30","26,987"
76,AAA00353656109378739,3347,1893,2037,0,11858,4135,26987,"45,7275","9,7126",299,1390,9720,43,0,202,0,10,32,0,15,12/4/23 18.56,"33,47","18,93","13,90","26,987"
77,AAA00353656109378739,3344,1875,2025,0,11858,4128,26987,"45,7275","9,7126",299,1362,9719,43,0,202,0,6,20,0,12,12/4/23 19.11,"33,44","18,75","13,62","26,987"
78,AAA00353656109378739,3351,1868,2025,0,11858,4128,26987,"45,7275","9,7126",299,1335,9717,44,0,292,8,3,12,0,6,12/4/23 19.26,"33,51","18,68","13,35","26,987"
79,AAA00353656109378739,3356,1862,2031,0,11858,4135,26952,"45,7275","9,7127",301,1310,9717,44,0,292,8,4,19,0,5,12/4/23 19.41,"33,56","18,62","13,10","26,952"
80,AAA00353656109378739,3341,1856,2000,0,11858,4122,26987,"45,7275","9,7127",301,1214,9718,45,0,0,0,2,10,0,1,12/4/23 19.56,"33,41","18,56","12,14","26,987"
81,AAA00353656109378739,3350,1837,2056,0,11989,4122,26987,"45,7275","9,7127",301,1105,9718,48,0,202,0,4,15,0,1,12/4/23 20.11,"33,50","18,37","11,05","26,987"
82,AAA00353656109378739,3353,1825,2006,0,11858,4128,26952,"45,7275","9,7127",301,1071,9718,51,0,0,0,0,0,0,1,12/4/23 20.26,"33,53","18,25","10,71","26,952"
83,AAA00353656109378739,3343,1812,1968,0,11858,4128,26952,"45,7275","9,7127",301,1087,9718,53,0,0,28,8,28,0,1,12/4/23 20.41,"33,43","18,12","10,87","26,952"
84,AAA00353656109378739,3345,1793,1943,0,11858,4128,27056,"45,7275","9,7127",301,1050,9717,55,0,0,3,1,8,0,0,12/4/23 20.57,"33,45","17,93","10,50","27,056"
85,AAA00353656109378739,3345,1768,1918,0,11858,4142,27090,"45,7275","9,7127",301,1040,9717,57,0,0,0,13,23,0,0,12/4/23 21.12,"33,45","17,68","10,40","27,09"
86,AAA00353656109378739,3353,1756,1931,0,11858,4128,27125,"45,7275","9,7127",301,1028,9715,58,0,0,6,1,6,0,0,12/4/23 21.27,"33,53","17,56","10,28","27,125"
87,AAA00353656109378739,3353,1737,1887,0,11858,4149,27194,"45,7275","9,7127",301,1015,9715,60,0,0,0,2,17,0,0,12/4/23 21.42,"33,53","17,37","10,15","27,194"
88,AAA00353656109378739,3356,1718,1862,0,11858,4128,27159,"45,7275","9,7127",301,978,9715,62,0,0,0,1,6,0,0,12/4/23 21.57,"33,56","17,18","9,78","27,159"
89,AAA00353656109378739,3362,1687,1843,0,11793,4115,27228,"45,7275","9,7127",301,978,9715,64,0,292,0,1,7,0,0,12/4/23 22.12,"33,62","16,87","9,78","27,228"
90,AAA00353656109378739,3349,1668,1850,0,11858,4135,27263,"45,7275","9,7127",301,985,9714,65,0,0,12,3,12,0,0,12/4/23 22.27,"33,49","16,68","9,85","27,263"
91,AAA00353656109378739,3352,1643,1806,0,11858,4128,27332,"45,7275","9,7127",301,992,9713,66,0,337,14,13,17,0,0,12/4/23 22.42,"33,52","16,43","9,92","27,332"
92,AAA00353656109378739,3358,1618,1781,0,11858,4135,27401,"45,7275","9,7127",301,966,9712,67,0,0,20,18,38,0,0,12/4/23 22.57,"33,58","16,18","9,66","27,401"
93,AAA00353656109378739,3360,1593,1756,0,11793,4115,27436,"45,7275","9,7127",301,941,9709,68,0,337,36,18,36,337,0,12/4/23 23.12,"33,60","15,93","9,41","27,436"
94,AAA00353656109378739,3337,1575,1775,0,11858,4122,27505,"45,7275","9,7127",293,923,9707,69,0,0,8,20,32,0,0,12/4/23 23.27,"33,37","15,75","9,23","27,505"
95,AAA00353656109378739,3354,1556,1718,0,11858,4122,27539,"45,7275","9,7127",293,921,9706,70,0,0,13,9,14,0,0,12/4/23 23.43,"33,54","15,56","9,21","27,539"
96,AAA00353656109378739,3369,1525,1693,0,11858,4135,27574,"45,7275","9,7127",293,909,9700,71,0,292,48,36,48,292,0,12/4/23 23.58,"33,69","15,25","9,09","27,574"
97,AAA00353656109378739,3393,1512,1750,0,11924,4135,27643,"45,7275","9,7127",293,920,9698,72,0,67,16,11,20,0,0,13/4/23 0.13,"33,93","15,12","9,20","27,643"
98,AAA00353656109378739,3394,1493,1718,0,11924,4128,27643,"45,7275","9,7127",293,923,9698,72,0,337,16,12,27,0,0,13/4/23 0.28,"33,94","14,93","9,23","27,643"
99,AAA00353656109378739,3389,1481,1650,0,11793,4128,27712,"45,7275","9,7127",293,926,9698,73,0,0,16,14,22,0,0,13/4/23 0.43,"33,89","14,81","9,26","27,712"
100,AAA00353656109378739,3399,1456,1625,0,11858,4122,27781,"45,7275","9,7127",293,910,9696,73,0,0,24,16,28,0,0,13/4/23 0.58,"33,99","14,56","9,10","27,781"
101,AAA00353656109378739,3411,1450,1606,0,11858,4128,27678,"45,7275","9,7127",293,918,9695,74,0,0,6,4,12,0,0,13/4/23 1.13,"34,11","14,50","9,18","27,678"
102,AAA00353656109378739,3424,1437,1643,0,11924,4149,27712,"45,7275","9,7127",293,936,9694,74,0,67,0,7,19,0,0,13/4/23 1.28,"34,24","14,37","9,36","27,712"
103,AAA00353656109378739,3415,1431,1587,0,11793,4149,27712,"45,7275","9,7127",293,942,9693,75,0,292,9,1,9,292,0,13/4/23 1.43,"34,15","14,31","9,42","27,712"
104,AAA00353656109378739,3422,1418,1568,0,11858,4128,27712,"45,7275","9,7127",293,939,9689,75,0,0,0,4,14,0,0,13/4/23 1.58,"34,22","14,18","9,39","27,712"
105,AAA00353656109378739,3404,1412,1562,0,11793,4135,27781,"45,7275","9,7127",293,938,9688,76,0,0,0,3,9,0,0,13/4/23 2.13,"34,04","14,12","9,38","27,781"
106,AAA00353656109378739,3411,1406,1600,0,11793,4142,27781,"45,7275","9,7127",293,941,9686,76,0,292,0,0,0,292,0,13/4/23 2.29,"34,11","14,06","9,41","27,781"
107,AAA00353656109378739,3390,1400,1550,0,11858,4128,27816,"45,7275","9,7127",293,948,9684,76,0,292,12,4,15,0,0,13/4/23 2.44,"33,90","14,00","9,48","27,816"
108,AAA00353656109378739,3433,1387,1537,0,11924,4128,27816,"45,7275","9,7127",293,949,9682,77,0,0,5,1,5,0,0,13/4/23 2.59,"34,33","13,87","9,49","27,816"
109,AAA00353656109378739,3414,1387,1531,0,11858,4122,27781,"45,7275","9,7127",293,948,9682,77,0,0,0,5,8,0,0,13/4/23 3.14,"34,14","13,87","9,48","27,781"
110,AAA00353656109378739,3390,1381,1575,0,11793,4128,27712,"45,7275","9,7126",292,952,9682,77,0,292,0,0,0,292,0,13/4/23 3.29,"33,90","13,81","9,52","27,712"
111,AAA00353656109378739,3398,1368,1525,0,11858,4128,27747,"45,7275","9,7126",292,962,9681,78,0,247,16,11,25,0,2,13/4/23 3.44,"33,98","13,68","9,62","27,747"
112,AAA00353656109378739,3416,1368,1512,0,11793,4142,27712,"45,7275","9,7126",292,962,9679,78,0,292,6,5,16,0,1,13/4/23 3.59,"34,16","13,68","9,62","27,712"
113,AAA00353656109378739,3404,1350,1587,0,11924,4128,27747,"45,7275","9,7126",292,960,9678,79,0,202,0,7,28,0,0,13/4/23 4.14,"34,04","13,50","9,60","27,747"
114,AAA00353656109378739,3430,1362,1556,0,11924,4122,27712,"45,7275","9,7126",292,964,9676,79,0,292,3,1,3,292,0,13/4/23 4.29,"34,30","13,62","9,64","27,712"
115,AAA00353656109378739,3439,1362,1506,0,11858,4128,27712,"45,7275","9,7126",292,950,9676,79,0,292,0,0,0,292,0,13/4/23 4.44,"34,39","13,62","9,50","27,712"
116,AAA00353656109378739,3409,1350,1500,0,11793,4128,27678,"45,7275","9,7126",292,962,9675,79,0,0,7,2,7,0,0,13/4/23 5.00,"34,09","13,50","9,62","27,678"
117,AAA00353656109378739,3409,1350,1493,0,11924,4128,27678,"45,7275","9,7126",292,946,9675,79,0,0,0,5,22,0,0,13/4/23 5.15,"34,09","13,50","9,46","27,678"
118,AAA00353656109378739,3383,1350,1537,0,11858,4135,27609,"45,7275","9,7126",292,942,9675,80,0,0,0,0,0,0,0,13/4/23 5.30,"33,83","13,50","9,42","27,609"
119,AAA00353656109378739,3382,1343,1493,0,11924,4149,27678,"45,7275","9,7126",292,933,9674,80,0,0,0,6,12,0,0,13/4/23 5.45,"33,82","13,43","9,33","27,678"
120,AAA00353656109378739,3376,1343,1487,0,11793,4149,27609,"45,7275","9,7126",292,928,9674,80,0,0,0,1,7,0,0,13/4/23 6.00,"33,76","13,43","9,28","27,609"
121,AAA00353656109378739,3371,1337,1481,0,11793,4142,27643,"45,7275","9,7126",292,927,9674,80,0,0,5,2,5,0,0,13/4/23 6.15,"33,71","13,37","9,27","27,643"
122,AAA00353656109378739,3376,1337,1525,0,11858,4142,27643,"45,7275","9,7126",292,933,9673,81,0,0,0,4,18,0,0,13/4/23 6.30,"33,76","13,37","9,33","27,643"
123,AAA00353656109378739,3379,1337,1481,0,11924,4128,27609,"45,7275","9,7126",292,928,9672,81,0,0,13,2,13,0,0,13/4/23 6.45,"33,79","13,37","9,28","27,609"
124,AAA00353656109378739,3361,1331,1468,0,11793,4142,27609,"45,7275","9,7126",292,905,9670,81,0,0,22,11,22,0,0,13/4/23 7.00,"33,61","13,31","9,05","27,609"
125,AAA00353656109378739,3364,1331,1468,0,11858,4142,27574,"45,7275","9,7126",292,900,9672,81,0,0,8,5,10,0,0,13/4/23 7.15,"33,64","13,31","9,00","27,574"
126,AAA00353656109378739,3375,1325,1512,0,11858,4122,27574,"45,7275","9,7127",294,903,9672,81,0,0,0,7,18,0,0,13/4/23 7.31,"33,75","13,25","9,03","27,574"
127,AAA00353656109378739,3361,1312,1468,0,11858,4149,27574,"45,7275","9,7127",294,895,9672,81,0,337,11,8,14,0,4,13/4/23 7.46,"33,61","13,12","8,95","27,574"
128,AAA00353656109378739,3382,1312,1456,0,11924,4122,27609,"45,7275","9,7127",294,885,9671,82,0,0,0,13,31,0,0,13/4/23 8.01,"33,82","13,12","8,85","27,609"
129,AAA00353656109378739,3360,1306,1537,0,11924,4128,27643,"45,7275","9,7127",294,883,9669,82,0,0,2,6,18,0,3,13/4/23 8.16,"33,60","13,06","8,83","27,643"
130,AAA00353656109378739,3375,1306,1500,0,11858,4128,27609,"45,7275","9,7127",294,879,9669,82,0,0,21,10,22,0,1,13/4/23 8.31,"33,75","13,06","8,79","27,609"
131,AAA00353656109378739,3374,1300,1450,0,11858,4128,27643,"45,7275","9,7127",294,887,9668,82,0,0,0,11,23,0,0,13/4/23 8.46,"33,74","13,00","8,87","27,643"
132,AAA00353656109378739,3370,1300,1443,0,11858,4128,27609,"45,7275","9,7127",294,903,9667,82,0,202,0,0,0,202,3,13/4/23 9.01,"33,70","13,00","9,03","27,609"
133,AAA00353656109378739,3380,1300,1437,0,11858,4128,27643,"45,7275","9,7127",294,911,9665,82,0,0,0,0,2,0,1,13/4/23 9.16,"33,80","13,00","9,11","27,643"
134,AAA00353656109378739,3365,1300,1475,0,11924,4128,27643,"45,7275","9,7127",294,923,9664,83,0,0,0,4,11,0,0,13/4/23 9.31,"33,65","13,00","9,23","27,643"
135,AAA00353656109378739,3359,1300,1443,0,11858,4128,27643,"45,7275","9,7127",294,919,9664,83,0,292,0,1,9,0,0,13/4/23 9.46,"33,59","13,00","9,19","27,643"
136,AAA00353656109378739,3350,1300,1437,0,11858,4128,27643,"45,7275","9,7127",294,931,9662,83,0,0,0,0,0,0,2,13/4/23 10.01,"33,50","13,00","9,31","27,643"
137,AAA00353656109378739,3358,1300,1437,0,11924,4142,27678,"45,7275","9,7127",294,944,9661,83,0,0,0,0,0,0,0,13/4/23 10.16,"33,58","13,00","9,44","27,678"
138,AAA00353656109378739,3362,1306,1475,0,11858,4135,27747,"45,7275","9,7127",294,955,9659,83,0,0,0,0,0,0,2,13/4/23 10.32,"33,62","13,06","9,55","27,747"
139,AAA00353656109378739,3353,1306,1443,0,11858,4128,27747,"45,7275","9,7127",294,953,9661,83,0,135,16,8,18,0,0,13/4/23 10.47,"33,53","13,06","9,53","27,747"
140,AAA00353656109378739,3350,1300,1431,0,11858,4122,27747,"45,7275","9,7127",294,941,9661,83,0,247,0,12,22,0,0,13/4/23 11.02,"33,50","13,00","9,41","27,747"
141,AAA00353656109378739,3359,1300,1431,0,11858,4128,27712,"45,7275","9,7127",294,921,9662,84,0,202,2,0,2,202,0,13/4/23 11.17,"33,59","13,00","9,21","27,712"
142,AAA00353656109378739,3362,1293,1487,0,11924,4128,27747,"45,7275","9,7126",301,902,9663,84,0,292,10,24,106,0,1,13/4/23 11.32,"33,62","12,93","9,02","27,747"
143,AAA00353656109378739,3369,1293,1437,0,11858,4122,27470,"45,7275","9,7126",301,899,9663,84,0,292,6,1,6,292,2,13/4/23 11.47,"33,69","12,93","8,99","27,47"
144,AAA00353656109378739,3356,1287,1425,0,11858,4135,27470,"45,7275","9,7126",301,897,9664,84,0,67,0,1,6,0,5,13/4/23 12.02,"33,56","12,87","8,97","27,47"
145,AAA00353656109378739,3356,1293,1512,0,11924,4128,27574,"45,7275","9,7126",301,894,9662,84,0,337,4,2,10,0,2,13/4/23 12.17,"33,56","12,93","8,94","27,574"
